# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:55:04 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4165 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Uranus  '           /                                                
# SPTYPE  = 'plnt    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2000 May 18'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.820451 / Minimum wavelength (um)                        
# MAXWAVE =              2.47444 / Maximum wavelength (um)                        
# V       =                    0 / V magnitude                                    
# VERR    =                    0 / V magnitude error                              
# (B-V)   =                    0 / B-V color                                      
# (B-V)ERR=                    0 / B-V color error                                
# J       =                    0 / 2MASS J magnitude                              
# JERR    =                    0 / 2MASS J magnitude error                        
# H       =                    0 / 2MASS H magnitude                              
# HERR    =                    0 / 2MASS H magnitude error                        
# KS      =                    0 / 2MASS Ks magnitude                             
# KSERR   =                    0 / 2MASS Ks magnitude error                       
# QFLAG   =                    0 / 2MASS quality flag                             
# FCBANDS =                    0 / 2MASS bands used for absolute flux calibration 
# ABSFERR =                    0 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.882973                9.50958e-13         1.78246e-14
             0.883210                8.89259e-13         1.69892e-14
             0.883448                8.81129e-13         1.68697e-14
             0.883686                8.45159e-13         1.68302e-14
             0.883923                7.93868e-13         1.94911e-14
             0.884161                8.21062e-13         1.66501e-14
             0.884398                8.16064e-13         1.62449e-14
             0.884636                8.20173e-13         1.64646e-14
             0.884873                8.72192e-13         1.63644e-14
             0.885111                8.92673e-13         1.65363e-14
             0.885348                8.43659e-13         1.61525e-14
             0.885586                8.20898e-13         1.62240e-14
             0.885823                8.37840e-13         1.60133e-14
             0.886061                8.47338e-13         1.61440e-14
             0.886299                8.39860e-13         1.58960e-14
             0.886536                8.07377e-13         1.93092e-14
             0.886774                6.91242e-13         1.53713e-14
             0.887011                6.71405e-13         1.54318e-14
             0.887249                7.11623e-13         1.52865e-14
             0.887486                7.70090e-13         1.56824e-14
             0.887724                7.88317e-13         1.54974e-14
             0.887961                8.10253e-13         1.59721e-14
             0.888199                8.57242e-13         1.91470e-14
             0.888436                8.80873e-13         1.97583e-14
             0.888674                8.66284e-13         1.57782e-14
             0.888911                8.88763e-13         1.59947e-14
             0.889149                8.76037e-13         1.86804e-14
             0.889386                8.42643e-13         1.99043e-14
             0.889623                8.33299e-13         1.60156e-14
             0.889861                8.55268e-13         1.64858e-14
             0.890098                8.51345e-13         1.58027e-14
             0.890336                8.13633e-13         1.58605e-14
             0.890573                8.55351e-13         1.92579e-14
             0.890811                8.45332e-13         1.57567e-14
             0.891048                8.46312e-13         1.55813e-14
             0.891286                8.55894e-13         1.60280e-14
             0.891523                8.80578e-13         1.89773e-14
             0.891760                9.01520e-13         1.93943e-14
             0.891998                8.72325e-13         1.60066e-14
             0.892235                8.99748e-13         1.60700e-14
             0.892473                8.95723e-13         1.61522e-14
             0.892710                8.80109e-13         1.92654e-14
             0.892948                9.04488e-13         1.67247e-14
             0.893185                9.09710e-13         1.66172e-14
             0.893422                8.96626e-13         1.60836e-14
             0.893660                8.29843e-13         1.60108e-14
             0.893897                8.32451e-13         1.56986e-14
             0.894135                8.54812e-13         1.70106e-14
             0.894372                8.58714e-13         1.93505e-14
             0.894609                8.67211e-13         1.71862e-14
             0.894847                8.03820e-13         1.58250e-14
             0.895084                8.78619e-13         1.65780e-14
             0.895321                8.75170e-13         1.62729e-14
             0.895559                8.45394e-13         1.64314e-14
             0.895796                8.01002e-13         1.61833e-14
             0.896034                8.06730e-13         1.60704e-14
             0.896271                8.06806e-13         1.66316e-14
             0.896508                8.45345e-13         1.72198e-14
             0.896746                8.78746e-13         1.81205e-14
             0.896983                8.88874e-13         1.69085e-14
             0.897220                9.03141e-13         1.69486e-14
