Test Spectra from Irwin et al. (2014), The Transit Spectra of Earth and Jupiter, Icarus
Column 1: Wavelength (in microns)
Column 2: 100*Ap/Astar (Earth-Sun Primary Transit)
Column 3: 100*Ap/Astar (Earth-Mdwarf Primary Transit)
Column 4: 100*Ap/Astar (Jupiter-Sun Primary Transit)
Column 5: Fp/Astar (Earth-Sun Secondary Eclipse)
Column 6: Disc-averaged radiance of Earth (W cm-2 sr-1 micron-1)
Column 7: Fp/Astar (Jupiter-Sun Secondary Eclipse)
Column 8: Disc-averaged radiance of Jupiter (W cm-2 sr-1 micron-1)
Column 9: Solar spectral irradiance spectrum (W micron-1)
           (Solar Radius = 695500.0 km)
Column 10: Mdwarf spectral irradiance spectrum (W micron-1)
           (Mdwarf Radius = 97995.0 km)
     Column 1     Column 2     Column 3     Column 4     Column 5     Column 6     Column 7     Column 8     Column 9    Column 10
      2.81600   0.00844889     0.425572      1.05894  3.70440e-13  2.14308e-07  1.46634e-09  6.75184e-06  9.29101e+24  3.87745e+22
      2.83200   0.00843857     0.425055      1.05893  6.63493e-13  3.75902e-07  1.23740e-09  5.57928e-06  9.09796e+24  3.81006e+22
      2.84800   0.00843339     0.424795      1.05893  8.91753e-13  4.94690e-07  1.10076e-09  4.85929e-06  8.90749e+24  3.74757e+22
      2.86400   0.00843030     0.424640      1.05893  1.27703e-12  6.93892e-07  1.06980e-09  4.62411e-06  8.72169e+24  3.68790e+22
      2.88000   0.00842599     0.424424      1.05891  2.13164e-12  1.13518e-06  1.08263e-09  4.58181e-06  8.53952e+24  3.62937e+22
      2.89600   0.00842205     0.424227      1.05891  2.98586e-12  1.55824e-06  1.03144e-09  4.27497e-06  8.36305e+24  3.57102e+22
      2.91200   0.00841913     0.424081      1.05890  3.92096e-12  2.00605e-06  1.05381e-09  4.27970e-06  8.19455e+24  3.51314e+22
      2.92800   0.00841725     0.423987      1.05890  6.37469e-12  3.20019e-06  1.09859e-09  4.37414e-06  8.03397e+24  3.45593e+22
      2.94400   0.00841752     0.424000      1.05890  6.63490e-12  3.26575e-06  1.09065e-09  4.25680e-06  7.87540e+24  3.39994e+22
      2.96000   0.00841901     0.424075      1.05890  6.92056e-12  3.33846e-06  1.15313e-09  4.41030e-06  7.71730e+24  3.34841e+22
      2.97600   0.00841998     0.424124      1.05890  8.31565e-12  3.93110e-06  1.15388e-09  4.32379e-06  7.56098e+24  3.30294e+22
      2.99200   0.00841921     0.424085      1.05897  1.17546e-11  5.44599e-06  1.07437e-09  3.94337e-06  7.40608e+24  3.26152e+22
      3.00800   0.00841864     0.424057      1.05909  1.25147e-11  5.68109e-06  1.14142e-09  4.10390e-06  7.25479e+24  3.22358e+22
      3.02400   0.00841863     0.424057      1.05914  1.09654e-11  4.87772e-06  1.17893e-09  4.15293e-06  7.10792e+24  3.18803e+22
      3.04000   0.00841853     0.424052      1.05913  9.93449e-12  4.33047e-06  1.17212e-09  4.04642e-06  6.96584e+24  3.15379e+22
      3.05600   0.00841871     0.424060      1.05913  8.81972e-12  3.76680e-06  1.15079e-09  3.89380e-06  6.82736e+24  3.12150e+22
      3.07200   0.00841863     0.424056      1.05911  9.48092e-12  3.97080e-06  1.21670e-09  4.03566e-06  6.69273e+24  3.09158e+22
      3.08800   0.00841879     0.424065      1.05904  9.26181e-12  3.80405e-06  1.26348e-09  4.11043e-06  6.56435e+24  3.06376e+22
      3.10400   0.00841903     0.424076      1.05901  1.03424e-11  4.17075e-06  1.06682e-09  3.40597e-06  6.44207e+24  3.03788e+22
      3.12000   0.00841955     0.424103      1.05912  1.70389e-11  6.75235e-06  9.74138e-10  3.05124e-06  6.32019e+24  3.01285e+22
